Model,Accuracy,Precision,Recall,F1-Score
Baseline RF,0.45588235294117646,0.4518849206349206,0.45588235294117646,0.44490365111561864
Optimized RF,0.4411764705882353,0.4401354904706981,0.4411764705882353,0.43616662601940365
