Model,Test Accuracy,Test Loss,Epochs Trained
Simple NN,0.5441176295280457,0.9495445489883423,100
Medium NN,0.5735294222831726,0.9345696568489075,81
Deep NN,0.6029411554336548,0.8713330626487732,100
